date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-1-value,GridSim-0.Bus-2-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-4-value,GridSim-0.Bus-5-value,GridSim-0.Bus-0-value,GridSim-0.Bus-3-value,FlexSim-0.FLSim-6-P[MW],FlexSim-0.FLSim-7-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-5-P[MW],FlexSim-0.FLSim-4-P[MW],FlexSim-0.FLSim-3-P[MW],FlexSim-0.FLSim-2-P[MW]
2016-01-01 00:00:00,0,0,0.531292200088501,0.0,4.218137014777376,0.027706649195382183,4.153970068342071,-4.904511496282694,-0.027706649195382183,-3.4820651648102654,1.9091587513629351,2.9953527449197592,2.160921413758811,2.057215601018566,1.7215255525999302,1.7605396122103352,2.008857508619284,2.145112559722787
2016-01-01 00:00:01,0.027706649195382183,0,0.03117847442626953,0.0,4.218137014777376,0.027706649195382183,4.153970068342071,-4.904511496282694,-0.027706649195382183,-3.4820651648102654,1.9173138475593863,3.589816424820506,2.160921413758811,2.057215601018566,1.6956189513065443,1.7962457902623494,2.008857508619284,2.145112559722787
2016-01-01 00:15:00,0.027706649195382183,0,0.5325007438659668,0.0,3.753031847802021,-1.2224455147789308,4.417392726603666,-4.69261880853592,1.2224455147789308,-4.745489620347087,2.929272283720282,1.7633465248156384,1.9705985180138268,1.7824333297881942,1.8249255517426657,2.9205640686044205,2.4072103966138947,2.0101823299897714
2016-01-01 00:15:01,0,1.2224455147789308,0.031287193298339844,0.0,3.753031847802021,-1.2224455147789308,4.417392726603666,-4.69261880853592,1.2224455147789308,-4.745489620347087,2.929272283720282,1.7633465248156384,1.9705985180138268,1.7824333297881942,1.8249255517426657,2.9205640686044205,2.4072103966138947,2.0101823299897714
2016-01-01 00:30:00,0,1.2224455147789308,0.7075908184051514,0.0,3.507331283624581,0.799056145268147,4.40491978255009,-2.8503645530515116,-0.799056145268147,-4.2995319023949525,1.1688430167218984,1.6815215363296132,1.6442663380596076,1.8630649455649733,2.3921104262495363,1.9074214761454165,2.4580806233166985,1.9468391592333911
2016-01-01 00:30:01,0.799056145268147,0,0.05039381980895996,0.0,3.507331283624581,0.799056145268147,4.40491978255009,-2.8503645530515116,-0.799056145268147,-4.2995319023949525,1.1688430167218984,1.6815215363296132,1.6442663380596076,1.8630649455649733,2.3921104262495363,1.9074214761454165,2.4580806233166985,1.9468391592333911
2016-01-01 00:45:00,0.799056145268147,0,0.6115217208862305,0.0,4.075053236918285,0.3188540079011716,4.400767189410798,-4.445334012468482,-0.3188540079011716,-3.7532232610515615,2.1499187238401882,2.2954152886282935,2.0585392923870787,2.016513944531206,2.2149829838528534,1.538240277198708,2.396469903270467,2.004297286140331
2016-01-01 00:45:01,0.3188540079011716,0,0.06252765655517578,0.0,4.075053236918285,0.3188540079011716,4.400767189410798,-4.445334012468482,-0.3188540079011716,-3.7532232610515615,2.1499187238401882,2.2954152886282935,2.0585392923870787,2.016513944531206,2.2149829838528534,1.538240277198708,2.396469903270467,2.004297286140331
2016-01-01 01:00:00,0.3188540079011716,0,0.5318295955657959,0.0,4.136015917124718,0.6874699235112132,3.6160728543779737,-3.8112652087866814,-0.6874699235112132,-3.288844060880347,2.347828695836676,1.4634365129500053,1.779786989234046,2.356228927890672,1.5065819778192013,1.7822620830611455,1.7073791468730848,1.908693707504889
2016-01-01 01:00:01,0.6874699235112132,0,0.03128695487976074,0.0,4.136015917124718,0.6874699235112132,3.6160728543779737,-3.8112652087866814,-0.6874699235112132,-3.288844060880347,2.347828695836676,1.4634365129500053,1.779786989234046,2.356228927890672,1.5065819778192013,1.7822620830611455,1.7073791468730848,1.908693707504889
