date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],GridSim-0.Bus-3-value,GridSim-0.Bus-0-value,GridSim-0.Bus-1-value,GridSim-0.Bus-4-value,GridSim-0.Bus-2-value,GridSim-0.Bus-5-value,GridSim-0.ExternalGrid-0-value,FlexSim-0.FLSim-5-P[MW],FlexSim-0.FLSim-6-P[MW],FlexSim-0.FLSim-7-P[MW],FlexSim-0.FLSim-2-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-4-P[MW],FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-3-P[MW]
2016-01-01 00:00:00,0,0,-2.8743168131693237,-1.2341809003243283,0.0,4.153970068342071,4.218137014777376,-4.301892720185497,1.2341809003243283,1.8452485650169423,1.895376809051516,2.406515911133981,2.145112559722787,2.160921413758811,1.0290682481523814,2.057215601018566,2.008857508619284
2016-01-01 00:00:01,1.2341809003243283,0,-2.8743168131693237,-1.2341809003243283,0.0,4.153970068342071,4.218137014777376,-4.301892720185497,1.2341809003243283,1.9430649761405685,1.889749962936548,2.412142757248949,2.145112559722787,2.160921413758811,0.3645848142843793,2.057215601018566,2.008857508619284
2016-01-01 00:15:00,1.2341809003243283,0,-4.098251430524343,-0.031474510556382854,0.0,4.417392726603666,3.753031847802021,-4.081087411503115,0.031474510556382854,1.412994402871369,2.3092345460009835,1.7718528655021317,2.0101823299897714,1.9705985180138268,2.685257027652974,1.7824333297881942,2.4072103966138947
2016-01-01 00:15:01,0.031474510556382854,0,-4.098251430524343,-0.031474510556382854,0.0,4.417392726603666,3.753031847802021,-4.081087411503115,0.031474510556382854,1.412994402871369,2.3092345460009835,1.7718528655021317,2.0101823299897714,1.9705985180138268,2.685257027652974,1.7824333297881942,2.4072103966138947
2016-01-01 00:30:00,0.031474510556382854,0,-2.3018277023252125,-2.2857662571823734,0.0,4.40491978255009,3.507331283624581,-3.357440156003223,2.2857662571823734,1.2546573062016027,1.4840247267125022,1.8734154292907212,1.9468391592333911,1.6442663380596076,1.0471703961236098,1.8630649455649733,2.4580806233166985
2016-01-01 00:30:01,2.2857662571823734,0,-2.3018277023252125,-2.2857662571823734,0.0,4.40491978255009,3.507331283624581,-3.357440156003223,2.2857662571823734,1.2546573062016027,1.4840247267125022,1.8734154292907212,1.9468391592333911,1.6442663380596076,1.0471703961236098,1.8630649455649733,2.4580806233166985
2016-01-01 00:45:00,2.2857662571823734,0,-2.8264060384141105,-1.8082925884859156,0.0,4.400767189410798,4.075053236918285,-3.878350211799295,1.8082925884859156,1.2353303442204244,1.6633596297897038,2.2149905820095914,2.004297286140331,2.0585392923870787,1.5910756941936863,2.016513944531206,2.396469903270467
2016-01-01 00:45:01,1.8082925884859156,0,-2.8264060384141105,-1.8082925884859156,0.0,4.400767189410798,4.075053236918285,-3.878350211799295,1.8082925884859156,1.2353303442204244,1.6633596297897038,2.2149905820095914,2.004297286140331,2.0585392923870787,1.5910756941936863,2.016513944531206,2.396469903270467
2016-01-01 01:00:00,1.8082925884859156,0,-2.205623030710795,-2.0035814181981313,0.0,3.6160728543779737,4.136015917124718,-3.5753720600477594,2.0035814181981313,0.6004597061593979,2.0239637580239096,1.55140830202385,1.908693707504889,1.779786989234046,1.6051633245513968,2.356228927890672,1.7073791468730848
2016-01-01 01:00:01,2.0035814181981313,0,-2.205623030710795,-2.0035814181981313,0.0,3.6160728543779737,4.136015917124718,-3.5753720600477594,2.0035814181981313,0.6004597061593979,2.0239637580239096,1.55140830202385,1.908693707504889,1.779786989234046,1.6051633245513968,2.356228927890672,1.7073791468730848
