date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-0-value,GridSim-0.Bus-2-value,GridSim-0.Bus-1-value,GridSim-0.Bus-4-value,GridSim-0.Bus-5-value,GridSim-0.Bus-3-value,GridSim-0.ExternalGrid-0-value,FlexSim-0.FLSim-7-P[MW],FlexSim-0.FLSim-4-P[MW],FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-3-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-2-P[MW],FlexSim-0.FLSim-5-P[MW],FlexSim-0.FLSim-6-P[MW]
2016-01-01 00:00:00,0,0,0.182478666305542,-1.2481874518490947,4.218137014777376,0.0,4.153970068342071,-3.699273944088299,-3.4624660112930092,1.2481874518490947,2.4008890650190127,1.7150338573996928,2.057215601018566,2.008857508619284,2.160921413758811,2.145112559722787,1.7474321538933162,1.2983848790692862
2016-01-01 00:00:01,1.2481874518490947,0,0.031342506408691406,-1.2481874518490947,4.218137014777376,0.0,4.153970068342071,-3.699273944088299,-3.4624660112930092,1.2481874518490947,2.4008890650190127,1.7248334341583205,2.057215601018566,2.008857508619284,2.160921413758811,2.145112559722787,1.7474321538933162,1.901003655166484
2016-01-01 00:15:00,1.2481874518490947,0,0.18764233589172363,-1.2952106308450984,3.753031847802021,0.0,4.417392726603666,-3.469556014470312,-3.4420989730798275,1.2952106308450984,1.7373178359337562,1.6046073825552827,1.7824333297881942,2.4072103966138947,1.9705985180138268,2.0101823299897714,1.8374915905245448,1.7322381785365555
2016-01-01 00:15:01,1.2952106308450984,0,0.03130745887756348,-1.2952106308450984,3.753031847802021,0.0,4.417392726603666,-3.469556014470312,-3.4420989730798275,1.2952106308450984,1.7373178359337562,1.6046073825552827,1.7824333297881942,2.4072103966138947,1.9705985180138268,2.0101823299897714,1.8374915905245448,1.7322381785365555
2016-01-01 00:30:00,1.2952106308450984,0,0.2291414737701416,-1.5252726472920457,3.507331283624581,0.0,4.40491978255009,-3.864515758954935,-2.5571067101017073,1.5252726472920457,1.85142672585238,1.021171568976023,1.8630649455649733,2.4580806233166985,1.6442663380596076,1.9468391592333911,1.5359351411256843,2.013089033102555
2016-01-01 00:30:01,1.5252726472920457,0,0.10443902015686035,-1.5252726472920457,3.507331283624581,0.0,4.40491978255009,-3.864515758954935,-2.5571067101017073,1.5252726472920457,1.85142672585238,1.021171568976023,1.8630649455649733,2.4580806233166985,1.6442663380596076,1.9468391592333911,1.5359351411256843,2.013089033102555
2016-01-01 00:45:00,1.5252726472920457,0,0.2030947208404541,-1.531557228351495,4.075053236918285,0.0,4.400767189410798,-3.311366411130108,-3.6706529918923376,1.531557228351495,1.9438060650966908,1.7459963255236663,2.016513944531206,2.396469903270467,2.0585392923870787,2.004297286140331,1.9246566663686715,1.3675603460334176
2016-01-01 00:45:01,1.531557228351495,0,0.03139305114746094,-1.531557228351495,4.075053236918285,0.0,4.400767189410798,-3.311366411130108,-3.6706529918923376,1.531557228351495,1.9438060650966908,1.7459963255236663,2.016513944531206,2.396469903270467,2.0585392923870787,2.004297286140331,1.9246566663686715,1.3675603460334176
2016-01-01 01:00:00,1.531557228351495,0,0.20326781272888184,-1.3527406282320904,4.136015917124718,0.0,3.6160728543779737,-3.3394789113088383,-3.093495681285379,1.3527406282320904,1.5666613232621938,1.5295571897958635,2.356228927890672,1.7073791468730848,1.779786989234046,1.908693707504889,1.5639384914895154,1.7728175880466446
2016-01-01 01:00:01,1.3527406282320904,0,0.03129887580871582,-1.3527406282320904,4.136015917124718,0.0,3.6160728543779737,-3.3394789113088383,-3.093495681285379,1.3527406282320904,1.5666613232621938,1.5295571897958635,2.356228927890672,1.7073791468730848,1.779786989234046,1.908693707504889,1.5639384914895154,1.7728175880466446
