date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],GridSim-0.Bus-2-value,GridSim-0.Bus-4-value,GridSim-0.Bus-3-value,GridSim-0.Bus-5-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-0-value,GridSim-0.Bus-1-value,FlexSim-0.FLSim-3-P[MW],FlexSim-0.FLSim-7-P[MW],FlexSim-0.FLSim-6-P[MW],FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-2-P[MW],FlexSim-0.FLSim-5-P[MW],FlexSim-0.FLSim-4-P[MW]
2016-01-01 00:00:00,0,0,4.218137014777376,4.153970068342071,-4.070214362933951,-4.301892720185497,0.04170637420102859,-0.04170637420102859,0.0,2.008857508619284,2.4008890650190127,1.901003655166484,2.057215601018566,2.160921413758811,2.145112559722787,1.7474321538933162,2.3227822090406347
2016-01-01 00:00:01,0.04170637420102859,0,4.218137014777376,4.153970068342071,-4.070214362933951,-4.301892720185497,0.04170637420102859,-0.04170637420102859,0.0,2.008857508619284,2.4008890650190127,1.901003655166484,2.057215601018566,2.160921413758811,2.145112559722787,1.7474321538933162,1.7248334341583227
2016-01-01 00:15:00,0.04170637420102859,0,3.753031847802021,4.417392726603666,-4.08933716290257,-4.081087411503116,0.04035769007067153,-0.04035769007067153,0.0,2.4072103966138947,1.7373178359337562,2.3437695755693597,1.7824333297881942,1.9705985180138268,2.0101823299897714,1.8374915905245448,2.2518455723780257
2016-01-01 00:15:01,0.04035769007067153,0,3.753031847802021,4.417392726603666,-4.08933716290257,-4.081087411503116,0.04035769007067153,-0.04035769007067153,0.0,2.4072103966138947,1.7373178359337562,2.3437695755693597,1.7824333297881942,1.9705985180138268,2.0101823299897714,1.8374915905245448,2.2518455723780257
2016-01-01 00:30:00,0.04035769007067153,0,3.507331283624581,4.40491978255009,-4.554810910171447,-3.357440156003223,0.038958920814700246,-0.038958920814700246,0.0,2.4580806233166985,1.85142672585238,1.5060134301508432,1.8630649455649733,1.6442663380596076,1.9468391592333911,1.7948875602812473,2.7599233498902
2016-01-01 00:30:01,0.038958920814700246,0,3.507331283624581,4.40491978255009,-4.554810910171447,-3.357440156003223,0.038958920814700246,-0.038958920814700246,0.0,2.4580806233166985,1.85142672585238,1.5060134301508432,1.8630649455649733,1.6442663380596076,1.9468391592333911,1.7948875602812473,2.7599233498902
2016-01-01 00:45:00,0.038958920814700246,0,4.075053236918285,4.400767189410798,-4.597470214529789,-3.8783502117992947,0.04257696175825121,-0.04257696175825121,0.0,2.396469903270467,1.9438060650966908,1.934544146702604,2.016513944531206,2.0585392923870787,2.004297286140331,1.9246566663686715,2.672813548161117
2016-01-01 00:45:01,0.04257696175825121,0,4.075053236918285,4.400767189410798,-4.597470214529789,-3.8783502117992947,0.04257696175825121,-0.04257696175825121,0.0,2.396469903270467,1.9438060650966908,1.934544146702604,2.016513944531206,2.0585392923870787,2.004297286140331,1.9246566663686715,2.672813548161117
2016-01-01 01:00:00,0.04257696175825121,0,4.136015917124718,3.6160728543779737,-4.176716711454931,-3.57537206004776,0.03753818472437234,-0.03753818472437234,0.0,1.7073791468730848,1.5666613232621938,2.008710736785566,2.356228927890672,1.779786989234046,1.908693707504889,1.5639384914895154,2.6127782199654157
2016-01-01 01:00:01,0.03753818472437234,0,4.136015917124718,3.6160728543779737,-4.176716711454931,-3.57537206004776,0.03753818472437234,-0.03753818472437234,0.0,1.7073791468730848,1.5666613232621938,2.008710736785566,2.356228927890672,1.779786989234046,1.908693707504889,1.5639384914895154,2.6127782199654157
